,Регион,ФО,"Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, % от впервые выявленных","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетом году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетном году, % от впервые выявленных","В том числе с использованием методов только хирургического, %","В том числе с использованием методов только лучевого, %","В том числе с использованием методов только лекарственного, %","В том числе с использованием методов комбинированного или комплексного (кроме химиолучевого), %","В том числе с использованием методов химиолучевого, %",Индикатор,Локализация,Таблица,Тип данных
12,Московская область,ЦЕНТРАЛЬНЫЙ ФО,14300,57.8,5133,20.7,49.9,7.5,3.0,36.9,2.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
13,Орловская область,ЦЕНТРАЛЬНЫЙ ФО,1574,50.4,316,10.1,66.8,3.0,1.6,24.6,3.9,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
14,Рязанская область,ЦЕНТРАЛЬНЫЙ ФО,2743,56.2,779,16.0,55.3,10.6,4.2,25.8,4.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
15,Смоленская область,ЦЕНТРАЛЬНЫЙ ФО,1422,34.3,723,17.5,64.0,5.7,2.5,27.7,0.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
16,Тамбовская область,ЦЕНТРАЛЬНЫЙ ФО,2687,65.6,521,12.7,50.8,8.5,7.0,26.5,7.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
17,Тульская область,ЦЕНТРАЛЬНЫЙ ФО,2975,51.3,402,6.9,62.0,4.7,2.8,28.4,2.2,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
18,Ярославская область,ЦЕНТРАЛЬНЫЙ ФО,3372,54.7,231,3.8,53.8,5.2,4.6,34.8,1.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
19,Ненецкий а.о.,СЕВЕРО-ЗАПАДНЫЙ ФО,49,48.0,9,8.8,61.2,2.0,0.0,32.7,4.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
20,Архангельская обл.(б/а.о),СЕВЕРО-ЗАПАДНЫЙ ФО,2647,53.7,424,8.6,53.1,9.7,2.8,32.4,2.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
21,Вологодская область,СЕВЕРО-ЗАПАДНЫЙ ФО,2294,52.8,616,14.2,50.1,10.0,3.4,30.3,6.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
22,Калининградская область,СЕВЕРО-ЗАПАДНЫЙ ФО,1431,35.9,1215,30.5,52.8,17.5,0.4,27.8,1.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
23,г. Санкт-Петербург,СЕВЕРО-ЗАПАДНЫЙ ФО,12398,58.0,3330,15.6,67.1,5.6,1.9,24.2,1.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
24,Ленинградская область,СЕВЕРО-ЗАПАДНЫЙ ФО,2826,73.8,620,16.2,45.4,3.1,2.4,33.6,15.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
25,Мурманская область,СЕВЕРО-ЗАПАДНЫЙ ФО,1420,47.0,476,15.8,68.3,0.4,0.0,31.1,0.2,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
26,Новгородская область,СЕВЕРО-ЗАПАДНЫЙ ФО,829,32.0,522,20.1,68.9,2.4,0.5,26.2,2.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
27,Псковская область,СЕВЕРО-ЗАПАДНЫЙ ФО,1270,46.1,464,16.9,44.6,19.4,4.4,29.6,1.9,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
28,Республика Карелия,СЕВЕРО-ЗАПАДНЫЙ ФО,1315,48.9,489,18.2,55.7,0.9,5.3,36.0,2.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
29,Республика Коми,СЕВЕРО-ЗАПАДНЫЙ ФО,1428,43.7,416,12.7,63.9,6.9,3.9,23.6,1.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
30,Краснодарский край,ЮЖНЫЙ ФО,11930,55.4,1540,7.2,57.0,9.6,3.3,28.9,1.2,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
31,Астраханская область,ЮЖНЫЙ ФО,1917,54.2,413,11.7,53.9,9.4,2.6,33.6,0.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
32,Волгоградская область,ЮЖНЫЙ ФО,5617,52.9,1970,18.5,53.5,4.0,1.5,40.4,0.6,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
33,Ростовская область,ЮЖНЫЙ ФО,6184,45.2,4075,29.8,54.9,8.6,2.5,31.8,2.2,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
34,Республика Адыгея,ЮЖНЫЙ ФО,569,36.0,179,11.3,53.1,25.0,3.3,16.2,2.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
35,Республика Калмыкия,ЮЖНЫЙ ФО,358,58.1,96,15.6,43.0,16.5,2.2,36.9,1.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
36,Республика Крым,ЮЖНЫЙ ФО,4175,56.0,1142,15.3,61.4,7.0,4.0,25.8,1.9,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
37,Город Cевастополь,ЮЖНЫЙ ФО,1433,63.7,114,5.1,64.8,8.0,2.1,24.6,0.6,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
38,Ставропольский край,СЕВЕРО-КАВКАЗСКИЙ ФО,4450,43.5,2591,25.4,61.9,11.1,1.9,22.7,2.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
39,Республика Ингушетия,СЕВЕРО-КАВКАЗСКИЙ ФО,799,78.5,98,9.6,30.4,11.1,3.6,48.7,6.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
40,Республика Дагестан,СЕВЕРО-КАВКАЗСКИЙ ФО,2871,59.8,779,16.2,51.4,10.8,2.6,33.7,1.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
41,Респ. Кабардино-Балкария,СЕВЕРО-КАВКАЗСКИЙ ФО,883,39.6,608,27.3,64.7,0.9,7.8,26.2,0.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
42,Респ. Северная Осетия,СЕВЕРО-КАВКАЗСКИЙ ФО,964,44.9,318,14.8,40.7,9.3,1.8,47.0,1.2,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
43,Респ. Карачаево-Черкесия,СЕВЕРО-КАВКАЗСКИЙ ФО,812,59.8,255,18.8,27.3,11.2,6.7,52.8,2.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
44,Республика Чечня,СЕВЕРО-КАВКАЗСКИЙ ФО,1442,59.4,446,18.4,33.4,4.7,5.5,52.5,4.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
45,Нижегородская область,ПРИВОЛЖСКИЙ ФО,7744,50.6,3241,21.2,68.0,1.8,1.5,28.0,0.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
46,Кировская область,ПРИВОЛЖСКИЙ ФО,2757,51.8,543,10.2,68.6,1.1,5.4,21.9,3.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
47,Самарская область,ПРИВОЛЖСКИЙ ФО,7485,53.4,1258,9.0,67.4,4.2,1.7,26.0,0.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
48,Оренбургская область,ПРИВОЛЖСКИЙ ФО,3983,47.6,2222,26.6,62.7,5.7,2.1,27.7,1.8,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
49,Пензенская область,ПРИВОЛЖСКИЙ ФО,3590,57.7,526,8.5,53.9,2.3,4.6,36.3,2.9,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
50,Пермский край,ПРИВОЛЖСКИЙ ФО,5015,52.0,1698,17.6,56.3,10.5,3.8,27.5,1.9,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
51,Саратовская область,ПРИВОЛЖСКИЙ ФО,5554,58.7,619,6.5,63.6,4.3,1.8,27.7,2.6,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
52,Ульяновская область,ПРИВОЛЖСКИЙ ФО,2426,51.0,910,19.1,53.5,3.4,4.7,33.4,4.9,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
53,Республика Башкортостан,ПРИВОЛЖСКИЙ ФО,6606,58.2,1134,10.0,53.3,6.6,3.4,31.8,5.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
54,Республика Марий Эл,ПРИВОЛЖСКИЙ ФО,797,36.1,494,22.4,76.5,1.3,0.0,20.2,2.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
55,Республика Мордовия,ПРИВОЛЖСКИЙ ФО,2205,62.6,379,10.8,37.2,20.1,2.0,38.9,1.8,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
56,Республика Татарстан,ПРИВОЛЖСКИЙ ФО,8112,50.8,4342,27.2,60.3,2.7,7.4,28.1,1.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
57,Республика Удмуртия,ПРИВОЛЖСКИЙ ФО,3020,51.8,687,11.8,59.2,0.5,3.1,35.8,1.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
58,Республика Чувашия,ПРИВОЛЖСКИЙ ФО,2335,57.7,399,9.9,65.2,0.6,4.0,29.9,0.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
59,Ханты-Мансийский а.о.,УРАЛЬСКИЙ ФО,2560,53.4,1056,22.0,70.2,3.2,2.1,20.4,4.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
60,Ямало-Ненецкий а.о.,УРАЛЬСКИЙ ФО,351,29.4,429,36.0,66.7,3.7,8.0,20.2,1.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
61,Курганская область,УРАЛЬСКИЙ ФО,1685,57.0,534,18.1,70.0,15.1,2.6,6.3,6.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
62,Свердловская область,УРАЛЬСКИЙ ФО,5979,33.6,3505,19.7,67.9,14.1,2.3,14.1,1.6,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
63,Тюменская обл.(б/а.о),УРАЛЬСКИЙ ФО,2363,41.4,1573,27.6,66.6,6.4,2.1,23.3,1.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
64,Челябинская область,УРАЛЬСКИЙ ФО,6720,48.5,2011,14.5,62.5,5.4,0.1,31.1,1.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
65,Алтайский край,СИБИРСКИЙ ФО,5335,49.9,1855,17.3,57.5,8.6,0.9,31.5,1.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
66,Красноярский край,СИБИРСКИЙ ФО,7417,60.4,1375,11.2,60.7,9.4,3.7,23.8,2.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
67,Иркутская область,СИБИРСКИЙ ФО,4443,42.8,1321,12.7,60.9,12.2,0.1,25.4,1.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
68,Кемеровская область,СИБИРСКИЙ ФО,3769,42.0,1707,19.0,62.6,6.7,2.2,26.0,2.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
69,Новосибирская область,СИБИРСКИЙ ФО,4010,40.0,1608,16.0,62.9,10.5,2.6,22.6,1.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
70,Омская область,СИБИРСКИЙ ФО,2935,36.1,1178,14.5,67.7,7.6,1.5,20.6,2.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
71,Томская область,СИБИРСКИЙ ФО,2567,52.5,1004,20.5,59.3,3.3,2.1,33.3,2.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
72,Республика Алтай,СИБИРСКИЙ ФО,258,46.5,127,22.9,45.3,3.1,3.1,48.4,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
73,Республика Тыва,СИБИРСКИЙ ФО,289,46.4,35,5.6,45.0,0.7,2.4,47.4,4.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
74,Республика Хакасия,СИБИРСКИЙ ФО,897,46.5,379,19.6,64.7,2.8,0.7,30.7,1.2,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
75,Приморский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,3720,53.3,1213,17.4,61.0,9.7,2.2,25.8,1.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
76,Хабаровский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,3104,58.7,855,16.2,38.3,6.1,5.0,48.4,2.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
77,Амурская область,ДАЛЬНЕВОСТОЧНЫЙ ФО,1014,32.2,959,30.5,58.7,14.3,2.5,22.3,2.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
78,Камчатский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,885,72.0,107,8.7,34.6,7.7,4.4,51.2,2.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
79,Магаданская область,ДАЛЬНЕВОСТОЧНЫЙ ФО,229,53.4,30,7.0,45.4,6.6,2.6,38.9,6.6,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
80,Сахалинская область,ДАЛЬНЕВОСТОЧНЫЙ ФО,1326,54.6,363,14.9,63.1,1.5,0.1,30.0,5.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
81,Забайкальский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,1598,47.0,481,14.2,66.7,1.4,3.6,27.3,0.9,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
82,Чукотский авт.округ,ДАЛЬНЕВОСТОЧНЫЙ ФО,46,41.1,26,23.2,76.1,0.0,0.0,23.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
83,Республика Бурятия,ДАЛЬНЕВОСТОЧНЫЙ ФО,1733,51.3,595,17.6,53.9,7.1,3.1,34.3,1.6,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
84,Республика Саха (Якутия),ДАЛЬНЕВОСТОЧНЫЙ ФО,1281,55.6,158,6.9,59.3,3.2,4.1,31.9,1.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
85,Еврейская авт. обл.,ДАЛЬНЕВОСТОЧНЫЙ ФО,141,25.0,197,34.9,85.8,1.4,0.0,11.3,1.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Злокачественные новообразования - всего (С00-96),Таблица 58,СОП
86,РОССИЯ,,1472,78.3,178,9.5,58.6,27.5,0.0,12.4,1.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Губа (С00),Таблица 61,СОП
87,Белгородская область,ЦЕНТРАЛЬНЫЙ ФО,20,87.0,1,4.3,60.0,35.0,0.0,5.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Губа (С00),Таблица 61,СОП
88,Брянская область,ЦЕНТРАЛЬНЫЙ ФО,6,30.0,13,65.0,16.7,50.0,0.0,33.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Губа (С00),Таблица 61,СОП
89,Владимирская область,ЦЕНТРАЛЬНЫЙ ФО,16,88.9,0,0.0,87.5,0.0,0.0,12.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Губа (С00),Таблица 61,СОП
90,Воронежская область,ЦЕНТРАЛЬНЫЙ ФО,40,85.1,5,10.6,50.0,27.5,0.0,22.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Губа (С00),Таблица 61,СОП
